#{"t_start": 1751935079.9621708, "env_id": "None"}
r,l,t
-17372.085302,460,2.100999
414244.256189,692,3.694833
371891.920975,666,5.348631
488706.129909,662,13.650266
531183.559634,659,14.978758
513996.697186,664,16.491722
520866.185133,660,23.610093
534150.862387,662,24.938315
563616.797139,659,26.214658
523849.095521,660,34.007885
519647.242601,665,35.573628
467674.555417,659,36.898105
508463.40049,656,44.915933
505200.37519,659,46.44302
528447.636963,657,48.2245
503497.432612,652,56.30304
525395.318153,659,57.447091
565519.879376,658,59.070461
492135.370157,662,66.610938
540302.419412,648,67.986552
521501.583142,659,69.665674
564638.55781,647,70.94597
521074.100802,662,79.196371
556703.730901,651,80.750737
552188.473059,658,82.32822
546614.56423,652,90.66419
551682.657552,644,91.938869
533675.340085,659,93.252419
550084.81895,646,100.809988
517200.701833,652,102.285683
548351.026702,646,103.52782
575230.706447,648,110.994172
551452.710961,651,112.313527
533112.864129,648,113.678105
546959.035965,647,121.313231
542764.883681,655,122.789558
556522.339015,646,124.159917
545413.243412,642,132.879886
588850.88877,647,134.097607
559004.940679,649,135.625388
563440.535714,649,143.195779
573336.87207,647,144.570669
529468.180926,650,146.050479
555761.436072,642,147.569939
569065.299637,644,155.576098
570937.323817,655,157.093749
579675.683594,651,159.074879
546945.576562,646,166.288878
534561.36434,644,167.567518
517926.911522,649,169.109944
538207.376864,641,177.319851
558035.502448,642,179.234459
543994.382808,642,181.083608
555242.231311,643,189.819909
565184.702144,646,191.824393
558520.317313,646,194.095756
581470.41297,641,202.880255
563781.316426,648,204.294138
560017.957694,646,206.037888
537921.226811,645,214.711885
552446.252247,642,216.139637
546507.80797,646,217.548019
534086.755486,641,219.064346
541995.217966,644,226.242053
540003.592416,651,227.632942
540056.583198,649,229.61921
550462.24753,639,237.88626
561067.863449,644,239.159457
557736.830749,647,240.86085
580571.53492,641,249.329238
559900.413857,639,250.696088
542304.77977,647,252.099201
566759.611624,643,261.018316
547840.323127,639,262.407624
537648.898045,639,264.158671
589346.974731,654,272.834125
583119.004156,641,274.666331
524335.233393,643,276.284099
526761.422151,644,277.925512
537395.56165,648,287.308756
573993.594201,645,288.968686
549244.883878,642,290.645882
