scenario,episode,total_reward,episode_length,success,timestamp,closest_approach,successful_interception,efficiency_score,fuel_total_interceptor_fuel,fuel_average_interceptor_fuel,fuel_max_interceptor_fuel,num_missiles,num_interceptors
easy,0,[95.55259],33,True,1753297758.225923,47.28285226478693,True,[2.895533],197.00558595904027,197.00558595904027,197.00558595904027,1,1
easy,1,[95.543526],33,True,1753297758.234717,47.55318916083792,True,[2.8952584],196.97604650283427,196.97604650283427,196.97604650283427,1,1
easy,2,[95.592896],33,True,1753297758.2431412,46.54360050597865,True,[2.8967545],197.01663500818358,197.01663500818358,197.01663500818358,1,1
easy,3,[95.5764],33,True,1753297758.2514088,46.86468473272014,True,[2.8962545],197.0100119682227,197.0100119682227,197.0100119682227,1,1
easy,4,[95.57641],33,True,1753297758.259627,46.86384403662019,True,[2.8962548],196.9989745766497,196.9989745766497,196.9989745766497,1,1
easy,5,[95.576416],33,True,1753297758.268866,46.863287530704724,True,[2.896255],196.99003514085422,196.99003514085422,196.99003514085422,1,1
easy,6,[95.51934],33,True,1753297758.277261,47.943095624352445,True,[2.8945255],196.99803991159644,196.99803991159644,196.99803991159644,1,1
easy,7,[95.62157],33,True,1753297758.285568,46.00212099253062,True,[2.8976233],197.0076838088936,197.0076838088936,197.0076838088936,1,1
easy,8,[95.57641],33,True,1753297758.294518,46.863716547073324,True,[2.8962548],196.9963511470027,196.9963511470027,196.9963511470027,1,1
easy,9,[95.5954],33,True,1753297758.302753,46.301216131564686,True,[2.8968303],197.06565705834043,197.06565705834043,197.06565705834043,1,1
